Score	Review
1	Ride seems comfortable and gas mileage fairly good averaging 26 city and 30 open road .
1	Seats are fine, in fact of all the smaller sedans this is the most comfortable I found for the price as I am 6', 2  and 250# .
1	Great gas mileage and comfortable on long trips .
1	Good gas mileage, comfortable seating, lots of leg room .
1	Lots of comfort for the price .
0	The ride is loud and uncomfortable .
0	I drive 2 hours to work each day and it is just not comfortable to me .
1	Getting about 26 mpg mixed city hwy with conservative driving, seating 4 people comfortably .
1	The ride is quiet and comfortable .
0	Styling is bland, the engine isn't strong at all, and the car doesn't deliver good comfort while driving it .
0	The seats aren't comfortable either .
1	It is relatively comfortable inside .
1	It's a pretty good car, reliable, comfortable as far as it goes, but limited rear visibility because of high rear bumper, and a problem with its computer  learning  my  driving style .
0	The driver seat is still soft and mostly uncomfortable .
1	The ride is comfortable and it seems to ride a little higher than the average sedan, which I like .
1	I've had 3 BMWs and only one of them could offer a more comfortable ride than the Camry .
0	Second the internal comfort id awful .
0	The previous soft seats were replaced with hard cheap ones which are very very uncomfortable and give me back pain .
1	If you keep in mind that the Camry is a comfort car, you may even enjoy the experience .
1	While the 4 cylinder does not have the punch of the Honda Accord 4 cylinder, the comfort and quietness of the ride won out .
1	No hestitation, comfort is great in front in back .
0	I feel uncomfortable driving this car and will get rid of it .
1	Very comfortable, great styling .
1	I was surprised by how quiet the cabin was and just how comfortable it was to sit in and drive .
0	This car offers poor driver's seat comfort, poor vision  , only average ride quality, gas mileage 
1	We have had this Camry about two years now, and it is not a boring car but it is smooth, comfortable and has good road manner, and overall it is a good car .
1	I'd highly recommend anyone buy this car if they are seeking an affordable, comfortable, reliable vehicle .
1	You can not get that comfort with any other automaker other than perhaps Honda .
1	Looks are great and interior is comfortable, but it ?
1	I needed a comfortable commuter that I could also run around with the family in .
1	great ride, quiet comfortable spacious cabin, superior electronics  , fair price and good looks .
1	You can't have it both ways, either a car is full of power and stiff suspension or it's smooth and comfortable on the road .
1	The interior is very luxurious and comfortable, however the car feels slower than my 2002 Camry LE .
1	For the comfort and entertainment of the ride, I like the Camry .
1	The driver's seat is really comfortable .
1	I have had no transmission issues or rattling, the comfort and ride of this vehicle felt to me much more high end then what I had paid .
1	I love the look, and the comfort, but would never buy one again .
